Area_type,Availability,Location,No of rooms (BHK),Society,Total_sqft,No of bathrooms,Balcony,Price (in Lakhs)
Built-up  Area,Ready To Move,Ardendale,2,Miwel M,1100,2,1,43.25
Super built-up  Area,Ready To Move,Harlur,2,SrEndPo,1508,2,1,77
Carpet  Area,Ready To Move,Sampigehalli,3,Puens G,1592,3,2,75
Super built-up  Area,Ready To Move,Akshaya Nagar,2,SagasSa,1388,2,3,57
Super built-up  Area,Not yet Ready,Electronic City Phase II,1,SNbay G,630,1,1,28.35
Plot  Area,Ready To Move,RMV,3,,2000,3,2,365
Super built-up  Area,Ready To Move,Banashankari3rd stage bigbazar,3,,1762,3,1,125
Super built-up  Area,Not yet Ready,Bagalur Main Road,2,,950,2,2,50
Super built-up  Area,Ready To Move,Kodihalli,4,Soianal,3252,5,3,335
Super built-up  Area,Not yet Ready,Magadi Road,2,Vrenty ,1116,2,1,50
Super built-up  Area,Ready To Move,Narayanapura,2,AriosHe,1308,2,2,89.04
Super built-up  Area,Ready To Move,MS Pallya,3,,1200,3,0,90
Plot  Area,Ready To Move,Binny Mills Employees Colony,4,,1500,4,2,230
Built-up  Area,Ready To Move,Bannerghatta Road,1,,500,1,1,18.5
Super built-up  Area,Ready To Move,Hennur,2,SLureSi,1075,2,1,52
Super built-up  Area,Not yet Ready,Chandapura,1,Siissi ,530,1,0,11.66
Built-up  Area,Ready To Move,Bellandur,2,,1205,2,3,66
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2,Mangsr ,1075,2,2,60
Built-up  Area,Ready To Move,KR Puram,2,HovasTe,930,2,2,39
Super built-up  Area,Ready To Move,Balagere,2,Exncene,1380,2,1,60
Super built-up  Area,Ready To Move,Hebbal,4,Prersis,2483,5,2,212
Built-up  Area,Ready To Move,Kodigehaali,2,Shyas S,1166,2,2,55
Super built-up  Area,Ready To Move,Bannerghatta Road,2,NadelCi,1050,2,1,65
Super built-up  Area,Not yet Ready,Gopalapura,3,Sothadr,2023.71,3,2,275
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1200,2,2,46.8
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3,Puarent,1600,2,1,108
Super built-up  Area,Ready To Move,Billekahalli,3,MaionPa,1935,3,2,110
Super built-up  Area,Not yet Ready,8th Phase JP Nagar,1,Maian M,451,1,0,29.9
Super built-up  Area,Ready To Move,Electronic City,3,ShstaAl,1800,3,2,95
Super built-up  Area,Not yet Ready,Jalahalli,3,Shard T,1400,3,0,77
Super built-up  Area,Ready To Move,Hegde Nagar,3,SoitaCa,1801,3,2,115
Built-up  Area,Ready To Move,Mahadevpura,2,Neagar ,1451,2,,90
Plot  Area,Not yet Ready,Anekal,2,,1200,1,1,36
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1160,2,2,44
Built-up  Area,Ready To Move,Kengeri,2,,1000,2,1,25
Super built-up  Area,Ready To Move,Kanakpura Road,2,Wiowsri,950,2,1,40
Built-up  Area,Not yet Ready,"Hoodi Circle, ",3,,1629,3,2,79
Built-up  Area,Ready To Move,Vijayanagar,3,,1580,2,0,134
Super built-up  Area,Not yet Ready,Vijayanagar,3,Saityat,1826,3,2,121
Built-up  Area,Ready To Move,7th Phase JP Nagar,2,Eladero,1245,2,1,94
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,Lancyey,1145,2,2,45.79
Super built-up  Area,Ready To Move,Sompura,2,Suiseit,825,2,1,33
Super built-up  Area,Not yet Ready,Yeshwanthpur,3,Aroomba,1693,3,3,108
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,Courf T,1113.27,2,2,53
Built-up  Area,Ready To Move,Ashirvad Colony,2,VMowsea,1460,2,1,58
Built-up  Area,Ready To Move,Doddathoguru,2,S onsMa,1050,2,1,32
Built-up  Area,Ready To Move,Dodda Nekkundi,2,Tuentpa,1260,2,2,55
Super built-up  Area,Ready To Move,K N Extension,6,,700,3,,120
Built-up  Area,Ready To Move,Hosur Road,2,Tovesee,1656,2,1,120
Super built-up  Area,Ready To Move,Chandapura,3,Vailsaf,1208,3,1,45
Super built-up  Area,Ready To Move,Whitefield,3,BrlisCo,1910,3,2,161
Super built-up  Area,Ready To Move,Whitefield,4,Haestt ,3252,4,1,230
Plot  Area,Ready To Move,Battarahalli,2,,1200,2,1,65
Super built-up  Area,Ready To Move,Gokula Extension,4,,1200,4,1,175
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,BriumMi,1175,2,1,82
Plot  Area,Ready To Move,Kamakshipalya,2,,1000,2,0,165
Plot  Area,Ready To Move,Bannerghatta Road,4,,1200,2,0,125
Super built-up  Area,Ready To Move,Rajaji Nagar,3,PhestOn,2390,3,2,410
Super built-up  Area,Not yet Ready,Rajaji Nagar,7,,10000,6,3,2200
Plot  Area,Ready To Move,Sultan Palaya,2,,550,1,1,62
Super built-up  Area,Ready To Move,Kengeri,1,,469.46,1,0,18.5
Super built-up  Area,Ready To Move,Sanne Amanikere,2,Hoxiaa ,1185,2,,38
Super built-up  Area,Ready To Move,Kengeri,2,VBvenal,750,2,1,38
Plot  Area,Ready To Move,Mahalakshmi Layout,6,,1200,7,3,250
Super built-up  Area,Ready To Move,Kanakpura Road,3,JRrnauv,1550,3,3,64.5
Built-up  Area,Ready To Move,Amco Colony,3,Hoeatan,1760,3,2,88
Super built-up  Area,Ready To Move,Billekahalli,2,Asity S,1125,2,2,62
Plot  Area,Ready To Move,Nagarbhavi,3,,1350,3,2,150
Plot  Area,Not yet Ready,Anandapura,2,,1000,2,1,55
Built-up  Area,Not yet Ready,Bommasandra Industrial Area,2,,1090,2,2,31.48
Plot  Area,Ready To Move,TC Palaya,2,,1200,2,0,60
Super built-up  Area,Ready To Move,Budigere,3,PrityTr,1991,4,2,103
Super built-up  Area,Not yet Ready,Bommasandra,2,DSoodil,1060,2,1,26.5
Super built-up  Area,Ready To Move,Ambalipura,2,SJarkte,1105,2,1,75
Built-up  Area,Ready To Move,Hoodi,2,Dhgraas,985,2,2,67
Plot  Area,Ready To Move,Chandapura,6,,1533,5,3,85
Super built-up  Area,Not yet Ready,Balagere,3,HiqueMa,1590,3,2,79
Super built-up  Area,Ready To Move,CV Raman Nagar,2,Srshq T,1120,2,2,55
Super built-up  Area,Ready To Move,Samethanahalli,2,SPontna,1069,2,1,55
Super built-up  Area,Ready To Move,Marathahalli,3,Prionad,1933,3,2,140
Built-up  Area,Not yet Ready,Hosur Road,2,PuendWe,1194,2,0,69
Super built-up  Area,Ready To Move,Brookefield,2,Danna S,1150,2,3,69
Super built-up  Area,Ready To Move,Yelenahalli,2,,1240,2,2,47.12
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1419,2,2,48.1
Plot  Area,Ready To Move,7th Phase JP Nagar,8,,1200,8,,250
Super built-up  Area,Ready To Move,Richmond Town,3,Bltonin,2150,4,,240
Super built-up  Area,Ready To Move,Suddaguntepalya,3,MSanaer,1450,3,2,55
Super built-up  Area,Not yet Ready,Udayapur Village,3,Plowsri,1630,3,2,68.29
Super built-up  Area,Ready To Move,Dasanapura,2,Tavenew,708,1,1,40
Plot  Area,Ready To Move,Kasavanhalli,3,,1000,4,3,110
Plot  Area,Ready To Move,Whitefield,4,,1189,4,3,700
Super built-up  Area,Ready To Move,Bellandur,2,Ocavees,1250,2,1,76
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,Brnia G,1400,2,1,95
Super built-up  Area,Ready To Move,Sarjapur  Road,3,,1670,2,3,57
Super built-up  Area,Ready To Move,Ardendale,3,SoystAm,1750,3,2,100
Super built-up  Area,Ready To Move,Vittasandra,2,Prlla C,1404,2,1,71
Super built-up  Area,Ready To Move,Hoodi,3,SMaxyay,1715,2,2,95
Built-up  Area,Not yet Ready,Electronic City,1,Prarkun,630,1,1,34.65
Super built-up  Area,Ready To Move,Harlur,3,SosicCl,1752.12,3,2,135
Super built-up  Area,Ready To Move,Hulimavu,3,,1650,3,2,78
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1295,2,1,55.47
Plot  Area,Ready To Move,Giri Nagar,3,Bancyri,1800,3,2,252
Super built-up  Area,Not yet Ready,Sarjapur  Road,2,PualeSk,1346,2,1,74.03
Plot  Area,Ready To Move,Thippasandra,4,,1200,4,2,200
Super built-up  Area,Ready To Move,Hormavu,2,ElavuHo,1150,2,2,55
Built-up  Area,Ready To Move,Chikkabidarakallu,4,Gontyol,3309,4,3,325
Super built-up  Area,Not yet Ready,Chandapura,3,SunceEs,1190,2,2,30.35
Super built-up  Area,Ready To Move,AECS Layout,3,DSutyng,1620,3,2,98
Super built-up  Area,Not yet Ready,Marathahalli,2,,950,2,1,46.96
Super built-up  Area,Ready To Move,1 Giri Nagar,11,Bancyri,5000,9,3,360
Super built-up  Area,Ready To Move,Harlur,3,SrEndPo,2450,3,0,120
Super built-up  Area,Not yet Ready,Electronic City Phase II,3,Sryalan,1220,2,1,35.23
Super built-up  Area,Ready To Move,Hoysalanagar,2,RKntsrt,850,2,1,30
Built-up  Area,Ready To Move,Padmanabhanagar,2,,1020,2,2,63
Built-up  Area,Ready To Move,Chikkalasandra,2,,1100,2,2,50
Super built-up  Area,Ready To Move,Defence Colony,2,Vantspa,1150,2,2,126
Super built-up  Area,Not yet Ready,Hebbal,3,Mahosya,1760,2,2,130
Super built-up  Area,Ready To Move,Ambalipura,3,,1800,3,3,110
Super built-up  Area,Ready To Move,Akshaya Nagar,2,,1070,2,1,54
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4,,1500,4,2,220
Plot  Area,Ready To Move,Vidyaranyapura,2,,1440,2,0,95
Super built-up  Area,Ready To Move,Amruthahalli,2,Prowsi ,900,2,1,40
Built-up  Area,Ready To Move,ITI Employees Layout,4,,1200,4,1,230
Super built-up  Area,Not yet Ready,Whitefield,2,SMuilan,1130,2,1,42.16
Super built-up  Area,Ready To Move,Koramangala,2,Proodt ,1320,2,1,165
Super built-up  Area,Not yet Ready,Kodigehalli,2,,1270,2,1,98
Built-up  Area,Ready To Move,Patelappa Layout,2,Sryamar,1200,2,1,62
Super built-up  Area,Ready To Move,Ring Road Nagarbhavi,4,,4800,4,,235
Super built-up  Area,Ready To Move,NS Palya,2,,1200,2,1,74
Super built-up  Area,Ready To Move,Subramanyapura,2,Prldsri,929,2,0,50.17
Built-up  Area,Ready To Move,RMV 2nd Stage,4,LiaveEn,1150,4,2,260
Plot  Area,Ready To Move,Basavangudi,4,,1125,4,3,180
Plot  Area,Ready To Move,Kenchenahalli,5,,500,3,2,65
Plot  Area,Ready To Move,3rd Block Hrbr Layout,5,Bemesrm,1200,5,2,190
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3,,1464,3,2,56
Super built-up  Area,Ready To Move,7th Phase JP Nagar,4,,3600,4,3,400
Plot  Area,Ready To Move,Bank Avenue,4,,2000,4,2,99
Super built-up  Area,Ready To Move,Chikkalasandra,2,,1208,2,1,49
Super built-up  Area,Ready To Move,Hebbal Kempapura,2,Vrensn ,1130,2,2,60
Super built-up  Area,Ready To Move,Surabhi Layout,3,VDdonel,1753,3,2,120
Super built-up  Area,Ready To Move,Old Madras Road,5,Brica E,4500,7,3,337
Plot  Area,Ready To Move,Banjara Layout,3,,600,3,2,58
Super built-up  Area,Not yet Ready,Hoodi,2,GoAirej,1196,2,2,94.42
Built-up  Area,Ready To Move,5th Phase JP Nagar,2,Prenty ,1150,3,3,52.5
Super built-up  Area,Not yet Ready,Electronic City,2,Prarkun,1128,2,1,63
Super built-up  Area,Ready To Move,Omkar Nagar,2,Shinei ,1000,2,1,53
Super built-up  Area,Ready To Move,Yelahanka,2,Apows M,1035,2,1,45
Built-up  Area,Ready To Move,Kereguddadahalli,2,,950,2,1,32
Super built-up  Area,Ready To Move,Bisuvanahalli,3,Prityel,1075,2,1,36
Super built-up  Area,Ready To Move,Whitefield,2,SVineun,1040,2,1,48.5
Plot  Area,Not yet Ready,Maragondanahalli,2,,720,2,1,45
Super built-up  Area,Ready To Move,Lingadheeranahalli,3,Soiewre,1511,3,1,95
Built-up  Area,Ready To Move,Silk Board,3,,1300,3,1,58
Super built-up  Area,Not yet Ready,Hoodi,3,Caycend,1545,3,1,68.75
Built-up  Area,Ready To Move,Shampura,1,,575,2,0,26
Super built-up  Area,Ready To Move,Vidyaranyapura,2,,1062,2,3,38
Super built-up  Area,Ready To Move,Kada Agrahara,2,,1115,2,1,40
Super built-up  Area,Ready To Move,JP Nagar,2,DSvvyx ,1000,2,1,35
Super built-up  Area,Not yet Ready,Kambipura,2,Prrtht ,883,2,1,45
Super built-up  Area,Not yet Ready,Sarjapur  Road,2,Brareio,1195,2,1,70
Plot  Area,Ready To Move,BHEL Layout,4,,1200,3,1,165
Built-up  Area,Ready To Move,Medahalli,1,,700,1,0,41
Super built-up  Area,Ready To Move,Vittasandra,2,Prlla C,1246,2,1,67
Plot  Area,Ready To Move,8th Phase JP Nagar,4,,660,4,2,90
Plot  Area,Ready To Move,Banashankari Stage III,4,,8500,4,2,145
Super built-up  Area,Ready To Move,Kashi Nagar,4,,1600,4,1,80
Super built-up  Area,Not yet Ready,Haralur Road,4,SNnia E,2805,5,3,154
Super built-up  Area,Ready To Move,Begur Road,3,,1584,3,,65
Plot  Area,Ready To Move,Sector 7 HSR Layout,4,,3000,5,1,275
Built-up  Area,Ready To Move,Hosur Road,3,,1175,2,2,48
Built-up  Area,Not yet Ready,"Yemlur, Old Airport Road, ",3,,1595,3,2,115
Super built-up  Area,Ready To Move,VHBCS Layout,2,OlarkLa,1353,2,2,110
Super built-up  Area,Not yet Ready,Electronic City,3,Prarkun,1599,3,2,125
Super built-up  Area,Ready To Move,Whitefield,2,SuMTBPr,1150,2,1,70
Super built-up  Area,Not yet Ready,Jakkur,4,Lecco C,5230,6,1,465
Super built-up  Area,Ready To Move,KR Puram,2,Jahidva,1155,2,2,42.74
Built-up  Area,Ready To Move,Ittamadu,1,,1200,2,0,85
Super built-up  Area,Not yet Ready,Electronic City Phase II,2,,1000,2,1,25
Super built-up  Area,Ready To Move,Thanisandra,4,,3000,4,,120
Built-up  Area,Ready To Move,Rajiv Nagar,3,PuoodSk,1867,3,1,160
Super built-up  Area,Not yet Ready,Ramagondanahalli,2,ViistLa,1251,2,1,47
Super built-up  Area,Not yet Ready,Gattahalli,2,Arano M,1028,2,1,45.5
Super built-up  Area,Ready To Move,Arekere,2,Amngsag,1222,2,2,45
Super built-up  Area,Ready To Move,Bannerghatta Road,3,SNity S,1170,2,1,66
Super built-up  Area,Ready To Move,Hebbal,3,Kacesh ,2400,4,1,245
Super built-up  Area,Ready To Move,Ramanjaneyanagar,3,,1385,2,2,48.48
Super built-up  Area,Ready To Move,HSR Layout,2,SrisePo,1372,2,1,68
Super built-up  Area,Ready To Move,Magadi Road,3,Bilya A,1282,2,2,49
Super built-up  Area,Ready To Move,Mico Layout,9,Amsomun,5000,9,3,210
Built-up  Area,Ready To Move,7th Block Jayanagar,5,,3000,3,1,528
Super built-up  Area,Ready To Move,Kanakpura Road,2,Shdhia ,1135,2,1,39.73
Built-up  Area,Not yet Ready,Whitefield,3,,1768,3,2,101
Built-up  Area,Ready To Move,Byatarayanapura,3,Foconna,1325,2,1,90
Super built-up  Area,Not yet Ready,Electronic City,3,Prarkun,1599,3,2,99
Plot  Area,Not yet Ready,Whitefield,3,,1500,3,1,61.95
Plot  Area,Ready To Move,2nd Phase JP Nagar,3,,2610,3,0,499
Super built-up  Area,Ready To Move,Uttarahalli,2,,1286,2,2,63
Built-up  Area,Ready To Move,Kammanahalli,5,,2845,5,1,140
Super built-up  Area,Ready To Move,K G Colony,3,Aincy R,1600,2,,50
Super built-up  Area,Not yet Ready,Hennur Road,2,Shxorm ,1195,2,0,63.77
Super built-up  Area,Ready To Move,Hebbal,3,Brium C,3450,5,2,260
Super built-up  Area,Not yet Ready,Munnekollal,2,Sadhii ,1102,2,2,53.67
Super built-up  Area,Ready To Move,Yelahanka,2,Sahanra,1350,2,2,54
Super built-up  Area,Ready To Move,Banashankari,3,,1200,2,2,42
Plot  Area,Ready To Move,Hosa Road,6,,1300,6,0,145
Plot  Area,Ready To Move,Herohalli,2,,1800,1,1,80
Built-up  Area,Ready To Move,Chikkabanavar,2,,950,2,1,40
Super built-up  Area,Not yet Ready,Kanakpura Road,1,PrarePa,525,1,1,27.25
Built-up  Area,Ready To Move,Attibele,2,Jae 2hu,656,2,1,25
Plot  Area,Ready To Move,Marathahalli,4,,1780,4,3,175
Super built-up  Area,Ready To Move,3rd Block Hrbr Layout,2,Icncy R,1056,2,1,80
Super built-up  Area,Not yet Ready,Bannerghatta Road,1,Hiatei ,595,1,1,33.32
Built-up  Area,Ready To Move,Ittamadu,2,,1080,2,2,50
Super built-up  Area,Not yet Ready,7th Phase JP Nagar,3,Puarero,2225,3,1,160
Super built-up  Area,Not yet Ready,Bommasandra,2,DSoodil,1126,2,1,28.15
Super built-up  Area,Ready To Move,Electronics City Phase 1,3,GaicaVe,1490,3,1,84
Plot  Area,Ready To Move,HRBR Layout,4,,2000,4,1,300
Super built-up  Area,Ready To Move,Sarjapur  Road,3,PuineSu,1550,3,3,100
Super built-up  Area,Ready To Move,Cybercity,3,Grare S,1600,3,2,86
Built-up  Area,Ready To Move,Ashwini layout,2,,1160,2,1,55
Built-up  Area,Ready To Move,Whitefield,4,PrOakSi,4144,4,3,315
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Supleon,2100,3,2,125
Super built-up  Area,Ready To Move,Vittasandra,2,Prlla C,1404,2,1,69.3
Plot  Area,Ready To Move,Sarjapur  Road,4,LGestbo,2230,4,3,225
Super built-up  Area,Ready To Move,Marathalli bridge,3,,1544,3,,120
Super built-up  Area,Not yet Ready,Banashankari Stage III,3,Pridsi ,1305,2,1,58.7
Super built-up  Area,Ready To Move,Marathahalli,2,Aahts H,1230,2,2,80
Plot  Area,Ready To Move,T.C PALYA,2,,1200,2,0,65
Super built-up  Area,Ready To Move,Harlur,3,,1460,3,1,73
Plot  Area,Immediate Possession,Sarjapur  Road,9,Asiss B,2400,,,34.185
Built-up  Area,Ready To Move,Gottigere,2,,967,2,3,45
Built-up  Area,Ready To Move,Byatarayanapura,1,,540,1,1,36
Super built-up  Area,Not yet Ready,Hormavu,1,Kolisl ,715,1,2,46
Super built-up  Area,Ready To Move,Whitefield,3,Toindls,2500,3,2,313
Super built-up  Area,Ready To Move,Dooravani Nagar,3,Puceswn,1578,3,1,180
Super built-up  Area,Ready To Move,Mysore Road,2,,1020,2,1,48.95
Super built-up  Area,Ready To Move,Jigani,2,i1odsne,1020,2,1,40
Super built-up  Area,Ready To Move,Koramangala,2,Ansna K,1253,2,1,102
Super built-up  Area,Ready To Move,JCR Layout,2,ARnamru,1180,2,2,42
Super built-up  Area,Ready To Move,Nehru Nagar,2,Veyalin,961,2,2,38
Built-up  Area,Ready To Move,Kanakapura,3,,1419,3,3,75
Super built-up  Area,Ready To Move,Harlur,3,SomonCi,1709,3,2,150
Plot  Area,Ready To Move,Papareddipalya,2,,1600,2,0,115
Super built-up  Area,Not yet Ready,Venkatapura,1,,486,1,1,18.5
Carpet  Area,Ready To Move,Sanjay nagar,2,,1100,2,2,98
Super built-up  Area,Ready To Move,HSR Layout,3,,1430,2,1,65
Super built-up  Area,Ready To Move,Sneha Colony,2,Daill S,1260,2,2,45
Built-up  Area,Ready To Move,RMV Extension,3,DSureSi,1630,3,2,85
Super built-up  Area,Not yet Ready,Sarjapur  Road,3,Soini T,1249,3,2,44.71
Super built-up  Area,Ready To Move,Kalena Agrahara,3,MancyRe,1450,2,3,85
Super built-up  Area,Not yet Ready,Konanakunte,3,Prasa W,2791,3,1,223
Super built-up  Area,Ready To Move,Hosapalya,1,,600,1,0,90
Built-up  Area,Ready To Move,Ashwini layout,1,Kaantth,834,1,1,60
Plot  Area,Ready To Move,Doddagubbi,3,,1125,4,1,70
Super built-up  Area,Ready To Move,Arekere,3,,2060,3,2,140
Super built-up  Area,Not yet Ready,Malleshwaram,7,,12000,7,3,2200
Built-up  Area,Ready To Move,Gottigere,2,Drente ,891,2,1,25
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1133,2,1,49.07
Built-up  Area,Ready To Move,Bisuvanahalli,3,Prityel,1075,2,1,37
Super built-up  Area,Not yet Ready,Sector 6 HSR Layout,4,,3000,5,2,260
Plot  Area,Ready To Move,Brookefield,4,,2440,5,2,425
Built-up  Area,Ready To Move,Vidyaranyapura,2,,1200,2,2,55
Super built-up  Area,Ready To Move,Thanisandra,2,,1075,2,2,45.8
Super built-up  Area,Ready To Move,Kaggadasapura,2,,1140,2,2,40
Plot  Area,Ready To Move,Margondanahalli,5,,940,4,2,150
Plot  Area,Ready To Move,ITI Layout,6,,2160,5,1,250
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,SGandea,1090,2,1,42
Built-up  Area,Ready To Move,R.T. Nagar,4,,1500,4,1,70
Super built-up  Area,Ready To Move,Whitefield,4,,4104,4,2,360
Super built-up  Area,Ready To Move,Whitefield,3,,1790,3,,100
Super built-up  Area,Not yet Ready,Hebbal,3,Mahosya,1920,3,2,134
Built-up  Area,Ready To Move,HRBR Layout,2,Eline P,1374,2,2,95
Carpet  Area,Ready To Move,Bannerghatta Road,3,,1445,3,2,95
Super built-up  Area,Not yet Ready,Kanakapura,1,GoityEt,711,1,1,36
Super built-up  Area,Ready To Move,Tumkur Road,3,SosonGa,1500,3,3,95
Super built-up  Area,Ready To Move,Whitefield,3,Gotis A,1720,3,3,100
Super built-up  Area,Ready To Move,Vasanthapura,3,,1400,3,2,60
Built-up  Area,Ready To Move,Kundalahalli,2,,1030,2,2,49
Super built-up  Area,Ready To Move,Mysore Road,2,PrntaEn,1200,2,1,85
Carpet  Area,Not yet Ready,Hosahalli,3,NSezeBr,1375,3,2,70
Plot  Area,Ready To Move,Hegde Nagar,2,,1050,1,,56
Super built-up  Area,Ready To Move,Jalahalli,3,Tahtsla,2250,3,2,160
Super built-up  Area,Ready To Move,Bellandur,2,Sronda ,1000,2,2,50
Super built-up  Area,Ready To Move,Jalahalli West,1,Prntsax,469,1,0,25
Super built-up  Area,Ready To Move,Marathahalli,4,PueraRi,3800,4,3,250
Super built-up  Area,Ready To Move,Kambipura,2,Prrtht ,883,2,1,29
Super built-up  Area,Ready To Move,GM Palaya,3,Chnts A,1820,2,3,86
Built-up  Area,Ready To Move,Singasandra,3,,1440,2,3,65
Super built-up  Area,Ready To Move,near Ramanashree California resort,6,,3600,4,1,160
Built-up  Area,Ready To Move,Malleshwaram,4,GaityEt,2500,5,2,325
Super built-up  Area,Not yet Ready,Mahadevpura,2,,1225,2,2,48
Plot  Area,Ready To Move,"6th block banashankari 3rd stage, 100 feet ORR",3,,4000,3,1,660
Carpet  Area,Ready To Move,Chikkalasandra,2,,875,2,3,52.8
Super built-up  Area,Ready To Move,Jalahalli East,1,ShshaSa,750,1,2,40
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2,,1180,2,3,80
Super built-up  Area,Ready To Move,Haralur Road,2,,1194,2,2,47
Super built-up  Area,Ready To Move,Hennur Road,3,,1500,2,2,62
Super built-up  Area,Ready To Move,Poornapragna Housing Society Layout,2,,1160,2,2,52.2
Built-up  Area,Ready To Move,Arekere,9,,4125,9,,265
Super built-up  Area,Ready To Move,Hosakerehalli,3,Taonte ,2378,3,1,262
Super built-up  Area,Ready To Move,Sarjapur,2,Ahownve,1128,2,1,60
Super built-up  Area,Ready To Move,Hebbal,3,Cevely ,1500,3,1,150
Built-up  Area,Not yet Ready,Huskur,3,,1220,2,1,35.23
Super built-up  Area,Ready To Move,Sarjapur  Road,2,,1210,2,2,58
Super built-up  Area,Not yet Ready,Kanakpura Road,3,PrarePa,1100,2,1,58
Super built-up  Area,Ready To Move,Bommasandra,3,Vaodspe,1200,3,2,46
Built-up  Area,Not yet Ready,Haralur Road,4,SNnia E,3385,5,,260
Super built-up  Area,Ready To Move,Nagondanahalli,3,DSldsen,1641,3,2,66
Super built-up  Area,Ready To Move,Horamavu Agara,2,,1200,2,1,45
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,NaonySy,1260,2,1,67.39
Super built-up  Area,Ready To Move,Mahadevpura,3,,1720,3,3,78
Super built-up  Area,Ready To Move,Yelahanka,2,Rarthne,1145,2,0,48.13
Super built-up  Area,Ready To Move,Yelahanka,2,Pyikad ,1210,2,1,45.98
Built-up  Area,Ready To Move,Indira Nagar,4,,2200,4,2,200
Super built-up  Area,Ready To Move,Bisuvanahalli,3,Prityel,1075,2,1,45
Built-up  Area,Ready To Move,Thanisandra,3,Soitya ,1702,3,2,130
Super built-up  Area,Ready To Move,Shanthala Nagar,2,Malex C,1630,2,2,200
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1141,2,2,38.55
Super built-up  Area,Not yet Ready,Shantiniketan Layout,3,,2072,3,2,108
Super built-up  Area,Not yet Ready,JP Nagar,5,Pehtsa ,6640,,,375
Built-up  Area,Ready To Move,Herohalli,3,,1200,2,0,70
Super built-up  Area,Ready To Move,Teachers Colony,3,,1350,3,0,77
Built-up  Area,Not yet Ready,Bettahalsoor,4,Toainnt,5002,4,0,445
Super built-up  Area,Not yet Ready,Srinivasa Nagar,3,,1180,2,2,78.34
Built-up  Area,Ready To Move,Yelahanka,3,Edreelm,3500,3,3,130
Super built-up  Area,Ready To Move,Langford Town,2,,1355,2,2,115
Plot  Area,Ready To Move,Sulthangunta,1,,600,1,0,50
Plot  Area,Ready To Move,Hormavu,7,,1200,7,,150
Super built-up  Area,Ready To Move,Bannerghatta Road,3,,1640,2,1,120
Plot  Area,Ready To Move,Byrathi Village,5,,1200,5,0,100
Super built-up  Area,Ready To Move,Kodichikkanahalli,3,,1190,2,2,57
Plot  Area,Ready To Move,OMBR Layout,4,,2400,4,2,375
Super built-up  Area,Ready To Move,Marathahalli,2,,1019,2,2,49.85
Super built-up  Area,Ready To Move,Ambedkar Colony,3,RMcesa ,1875,3,2,165
Super built-up  Area,Not yet Ready,Akshaya Nagar,3,,1250,3,2,40
Plot  Area,Ready To Move,Brookefield,3,Krreera,1200,3,2,140
Super built-up  Area,Ready To Move,Whitefield,2,PaantPl,1140,2,1,56
Super built-up  Area,Ready To Move,Lingadheeranahalli,3,Soiewre,1683,3,1,109
Super built-up  Area,Ready To Move,Kaggadasapura,3,Golmsoy,1515,3,,83.3
Super built-up  Area,Not yet Ready,Hoodi,4,Caycend,2118,4,2,111
Built-up  Area,Ready To Move,Bannerghatta Road,4,,1380,3,0,58
Super built-up  Area,Ready To Move,Varthur Road,2,,1083,2,2,61.75
Plot  Area,Ready To Move,Anjappa Layout,2,,600,2,1,55
Built-up  Area,Ready To Move,Avalahalli,3,Sohea A,2300,3,3,120
Super built-up  Area,Ready To Move,Prakruthi Nagar,2,MSvelek,1240,2,2,60
Super built-up  Area,Ready To Move,Surabhi Layout,3,VDdonel,1750,3,1,120
Super built-up  Area,Not yet Ready,Sadaramangala,2,,1230,2,,43.48
Plot  Area,Not yet Ready,Anjanapura,3,,1500,3,1,139
Super built-up  Area,Ready To Move,Abbigere,2,SLtias ,985,2,1,40.39
Plot  Area,Ready To Move,Tindlu,3,Hentye ,1500,2,1,87
Built-up  Area,Not yet Ready,Electronic City,2,,1125,2,1,32.49
Built-up  Area,Ready To Move,Maruthi Sevanagar,2,SMikaay,950,2,1,44
Super built-up  Area,Not yet Ready,JP Nagar,5,Pehtsa ,6800,,,548.5
Super built-up  Area,Ready To Move,Kothanur,3,,1580,3,3,76
Plot  Area,Ready To Move,B Narayanapura,3,,1092,2,1,98.5
Built-up  Area,Not yet Ready,Electronic City Phase II,2,Sryalan,1090,2,1,28.34
